sequence_id,step,stage_label,stage_name,requests_per_ip_10s,requests_per_ip_60s,endpoint_entropy,latency_spike,error_rate,request_variance
0,0,0,NORMAL,2.750451,10.821694,2.524482,0.034891,0.021278,0.405127
0,1,0,NORMAL,1.146956,10.638194,3.888896,0.103302,0.031272,0.640253
0,2,0,NORMAL,2.368751,5.123352,3.939225,0.097504,0.018151,0.295721
0,3,2,ESCALATION,14.227353,43.575083,2.588720,0.579846,0.114618,9.238198
0,4,3,SURGE,81.416476,183.743399,1.295103,0.818623,0.280799,49.031778
0,5,2,ESCALATION,10.799218,37.632782,3.190356,0.611488,0.121726,6.003471
0,6,3,SURGE,61.166858,208.747544,1.848572,0.922360,0.283946,40.540633
0,7,4,SUSTAINED,85.050306,256.285325,1.104099,0.926481,0.274445,53.349146
0,8,3,SURGE,51.341689,238.731134,0.826852,0.866511,0.258138,44.689779
0,9,3,SURGE,67.933472,186.050997,1.315059,0.985798,0.240435,29.794509
0,10,3,SURGE,50.805477,219.886430,1.556970,0.969049,0.228637,41.268318
0,11,3,SURGE,56.906535,218.271010,1.235230,0.863695,0.230913,30.433283
0,12,3,SURGE,55.305977,200.499765,1.692299,0.944653,0.283269,39.212116
1,0,1,RECON,1.625331,10.764438,3.141840,0.200275,0.057995,1.275617
1,1,1,RECON,7.598457,16.218680,4.790012,0.206638,0.045891,1.239982
1,2,2,ESCALATION,19.201541,24.090194,3.060654,0.535660,0.076234,3.661826
1,3,3,SURGE,54.705073,209.307048,1.508741,1.060178,0.238032,31.812020
1,4,3,SURGE,62.199967,254.367503,1.834044,0.935687,0.323165,30.489896
1,5,3,SURGE,50.734241,184.407608,0.949326,0.963515,0.238889,28.233550
1,6,3,SURGE,63.135138,233.525063,2.298692,1.191386,0.270720,32.083695
1,7,3,SURGE,62.677115,167.482356,1.333857,0.838790,0.242960,48.527842
1,8,4,SUSTAINED,78.730921,268.930387,0.697595,0.925685,0.297849,65.607579
1,9,4,SUSTAINED,87.861916,285.021132,0.844517,0.901744,0.270991,67.770818
1,10,4,SUSTAINED,86.707914,272.912185,1.479472,0.969248,0.293734,54.755425
1,11,4,SUSTAINED,83.568578,286.350496,0.832318,0.886103,0.306904,64.474548
1,12,4,SUSTAINED,79.050893,308.574784,1.591801,0.960969,0.283563,61.637732
1,13,2,ESCALATION,22.678780,52.748517,2.065319,0.294776,0.166037,13.170997
1,14,2,ESCALATION,13.084063,71.921664,2.135773,0.365791,0.125733,6.816185
1,15,2,ESCALATION,14.182786,55.063618,3.644489,0.513588,0.125758,1.849484
1,16,2,ESCALATION,10.783849,31.717804,2.273109,0.449881,0.136636,4.020822
1,17,1,RECON,4.031661,16.361635,5.002206,0.353812,0.076748,1.876395
1,18,2,ESCALATION,13.880706,53.637452,2.905944,0.337342,0.103620,8.684685
1,19,4,SUSTAINED,95.014757,274.402699,1.113785,0.876828,0.276372,56.893630
1,20,3,SURGE,52.709162,173.834142,0.641084,0.883733,0.196879,35.764485
1,21,3,SURGE,71.238607,196.229498,0.796909,0.753295,0.356462,29.700619
1,22,4,SUSTAINED,94.695308,387.152015,0.848530,0.931588,0.313662,65.372186
1,23,4,SUSTAINED,78.037777,323.320127,1.330430,0.931192,0.294647,46.750625
1,24,0,NORMAL,1.733613,8.696510,3.222336,0.123577,0.030127,0.546629
1,25,0,NORMAL,2.053155,8.000253,3.139221,0.115825,0.019027,1.127950
1,26,0,NORMAL,2.385847,5.710828,2.943794,0.159557,0.022627,0.644043
1,27,0,NORMAL,2.927438,9.363261,2.944785,0.076424,0.022637,0.515740
1,28,0,NORMAL,1.896512,7.244068,3.576281,0.173575,0.000000,0.428945
1,29,0,NORMAL,2.295994,6.884256,2.621639,0.116400,0.037274,0.039842
1,30,0,NORMAL,1.671475,7.816027,2.973551,0.083277,0.033000,0.674797
1,31,0,NORMAL,3.177412,9.317260,4.371967,0.121950,0.028280,0.411029
1,32,0,NORMAL,1.302576,10.968752,2.910848,0.139118,0.018093,0.851374
1,33,0,NORMAL,3.820646,10.192324,2.713980,0.096652,0.008280,0.344516
1,34,0,NORMAL,2.637534,5.903209,2.993141,0.101639,0.007834,0.298658
1,35,0,NORMAL,1.347687,11.465936,3.804381,0.000000,0.023044,0.521610
1,36,0,NORMAL,3.616210,1.810285,3.204448,0.129545,0.004184,0.942785
1,37,0,NORMAL,2.846584,6.287169,3.906882,0.153424,0.022329,0.570320
1,38,0,NORMAL,1.136655,7.557414,3.423739,0.119170,0.029998,0.182439
1,39,0,NORMAL,3.481456,5.769235,3.088875,0.110115,0.028444,0.503428
1,40,2,ESCALATION,19.283970,62.627301,3.132470,0.849148,0.091794,1.989433
2,0,0,NORMAL,3.309551,3.193221,2.874176,0.019936,0.012059,0.631891
2,1,1,RECON,5.552548,10.936171,2.351917,0.305435,0.040564,2.367509
2,2,1,RECON,5.276483,21.800665,4.383369,0.353006,0.035907,1.856311
2,3,2,ESCALATION,19.102642,44.093882,3.112700,0.460124,0.095298,10.488557
2,4,2,ESCALATION,8.517638,27.767219,1.399830,0.398260,0.129977,7.145348
2,5,3,SURGE,70.892175,253.107445,1.472345,1.035359,0.254606,33.300814
2,6,3,SURGE,45.194635,164.474646,1.356793,0.980359,0.336038,28.942548
2,7,2,ESCALATION,9.797280,57.120456,2.721348,0.225364,0.137132,6.184998
2,8,2,ESCALATION,9.651238,40.185751,3.056734,0.471613,0.113146,9.085766
2,9,3,SURGE,56.572138,140.925687,1.926889,0.866851,0.305730,43.067017
2,10,3,SURGE,63.487759,278.040502,2.330792,0.906938,0.258010,48.609921
3,0,1,RECON,4.948274,19.569541,3.533305,0.141043,0.008540,1.106093
3,1,0,NORMAL,1.706808,13.811693,4.052997,0.051895,0.023477,0.377877
3,2,0,NORMAL,2.185326,9.857513,3.330371,0.153193,0.008581,0.501902
3,3,0,NORMAL,2.223080,12.299644,3.545760,0.129039,0.019432,0.448878
3,4,0,NORMAL,2.430301,5.445388,3.832793,0.154264,0.023665,0.414125
3,5,0,NORMAL,1.691327,10.806641,2.584297,0.083220,0.000092,0.051482
