requests_per_ip_10s,requests_per_ip_60s,endpoint_entropy,latency_spike,error_rate,request_variance,label
3,21,1.1789,0,0.0081,40.567,0
2,11,1.39,0,0.049,60.8549,0
2,11,1.8374,0,0.0332,48.542,0
3,16,1.9153,0,0.0283,71.354,0
2,15,1.1863,0,0.0177,52.6218,0
3,21,1.2627,0,0.0507,44.6299,0
4,13,1.606,0,0.0011,57.8813,0
1,17,1.2251,0,0.0149,36.6247,0
1,7,1.9107,1,0.0025,22.2975,0
5,19,1.4109,0,0.0292,70.0168,0
10,56,2.7269,1,0.3928,130.8054,1
2,16,1.2832,0,0.0455,33.2421,0
2,17,2.2604,0,0.0069,54.4022,0
4,16,2.3216,0,0.0039,52.1071,0
2,19,0.9103,0,0.0203,42.5658,0
3,16,1.1649,0,0.0476,37.4699,0
1,14,2.5734,0,0.0083,52.5328,0
0,19,1.0034,0,0.053,59.1036,0
2,18,0.9541,0,0.0091,27.3684,0
2,18,0.9753,0,0.0225,92.7862,0
4,13,1.8464,0,0.0343,27.5915,0
2,11,2.3472,0,0.0016,38.4874,0
0,16,0.9545,0,0.0211,56.4303,0
2,20,1.3094,0,0.0007,37.3645,0
1,16,0.8584,0,0.0197,32.6965,0
3,17,1.3596,0,0.0101,45.9977,0
2,17,1.6934,0,0.0147,43.7914,0
1,14,0.6238,0,0.0254,54.7228,0
3,31,1.1928,0,0.03,56.1209,0
1,15,1.03,0,0.0098,59.6147,0
0,14,2.0164,0,0.0064,50.5762,0
4,19,1.5542,0,0.0318,63.3988,0
3,21,1.3627,1,0.0195,32.8674,0
3,15,0.1003,0,0.0056,51.8274,0
3,17,1.7667,0,0.0365,66.7894,0
4,22,1.4969,0,0.0084,17.8109,0
0,12,1.3399,0,0.003,45.5879,0
2,11,0.8837,0,0.0021,62.4811,0
2,17,1.7789,0,0.0438,61.2093,0
5,20,1.8003,0,0.0121,58.9138,0
3,9,1.2565,0,0.0118,60.3652,0
6,20,1.3673,0,0.0018,20.7864,0
2,10,2.2979,0,0.0302,45.6651,0
3,13,2.5787,0,0.0306,11.5313,0
3,17,1.501,0,0.0138,75.1037,0
0,15,2.3806,0,0.0306,14.9325,0
4,20,1.202,0,0.0212,46.4811,0
3,17,1.9967,0,0.0205,43.9848,0
3,15,0.499,0,0.0689,51.1766,0
3,16,1.5351,0,0.0111,59.5409,0
4,12,0.7662,0,0.0008,34.3414,0
6,21,2.4542,0,0.0039,25.6534,0
2,19,0.8637,0,0.0237,43.4953,0
2,16,1.4659,0,0.0104,55.1452,0
0,18,1.3908,0,0.0113,44.9506,0
1,11,1.888,0,0.0083,27.1818,0
2,17,2.4175,0,0.0464,66.9503,0
5,19,1.0088,0,0.0073,82.8447,0
2,15,1.8736,0,0.0156,64.3751,0
1,16,1.1415,0,0.0282,68.8409,0
1,24,1.6505,0,0.0115,36.2496,0
0,12,0.8728,0,0.0239,33.8171,0
6,19,1.0129,0,0.013,63.4562,0
2,15,1.4763,0,0.0041,53.3952,0
3,14,1.9369,0,0.0005,74.2559,0
3,16,2.2885,0,0.0058,49.5485,0
4,18,0.7188,0,0.0002,31.5602,0
4,25,1.6982,0,0.0042,53.395,0
0,14,2.2037,0,0.004,21.7283,0
3,11,1.2326,0,0.005,48.2056,0
1,9,1.4318,0,0.0042,58.4286,0
8,18,1.1776,0,0.0108,44.8601,0
3,16,2.8153,0,0.0077,26.6542,0
3,22,1.575,0,0.0256,56.7983,0
6,25,1.1584,0,0.0088,38.4931,0
3,23,1.2139,0,0.0111,57.8496,0
2,20,2.3615,0,0.0538,29.8166,0
1,24,1.4652,0,0.0116,33.0416,0
0,22,1.8775,0,0.0351,52.0645,0
2,13,1.7358,0,0.069,30.8274,0
3,17,1.264,0,0.0134,19.8315,0
2,12,0.6301,0,0.0116,48.5835,0
3,16,1.5754,0,0.0312,29.759,0
5,15,1.7301,1,0.0106,14.3984,0
4,22,1.5931,0,0.0127,63.0731,0
2,14,0.9319,0,0.0192,71.1936,0
6,19,1.6473,0,0.0942,33.2201,0
5,20,2.0584,0,0.0302,60.8505,0
5,23,1.5936,0,0.004,44.3652,0
4,17,1.9405,0,0.0339,71.5762,0
591,923,0.2315,1,0.0245,4.9488,1
2,18,0.9339,0,0.0038,10.0,0
1,20,2.3455,0,0.0134,67.2591,0
3,19,1.3648,0,0.0322,60.4529,0
12,99,0.2541,0,0.6975,11.4289,1
33,82,1.5628,1,0.6345,486.277,1
30,547,1.4644,1,0.1675,6.297,1
5,27,2.0552,0,0.0422,82.5533,0
3,19,0.5604,0,0.0395,43.4964,0
3,20,2.1095,0,0.0304,68.6732,0
3,15,0.9238,0,0.0134,57.9701,0
1,10,2.4898,0,0.0034,30.1976,0
5,17,0.872,0,0.0183,59.5964,0
2,16,1.1846,1,0.0109,42.7585,0
6,17,1.4271,0,0.0014,39.1975,0
2,20,1.452,0,0.0587,20.2649,0
1,15,1.3846,0,0.0221,32.1719,0
1,15,2.1911,0,0.0241,10.0,0
1,17,2.1263,0,0.0283,34.4196,0
0,20,2.8578,0,0.0142,18.5429,0
1,11,1.1816,0,0.0188,53.4765,0
7,16,2.0159,0,0.0196,76.8189,0
2,20,1.0489,0,0.0247,64.8339,0
3,24,0.9558,0,0.0249,22.374,0
3,16,1.2148,0,0.0143,26.4178,0
4,21,2.0048,0,0.0247,44.4669,0
3,22,1.3764,0,0.0803,38.2407,0
5,25,2.0965,0,0.0238,66.5361,0
2,13,1.6188,0,0.0152,66.99,0
7,24,1.9596,0,0.0493,45.6293,0
1,19,1.8589,0,0.0175,24.5351,0
5,26,2.5256,1,0.0317,36.1239,0
1,15,1.1535,0,0.0093,15.9225,0
3,14,2.6366,0,0.0034,50.9661,0
2,9,1.2294,0,0.0742,87.121,0
3,21,1.3132,0,0.0004,13.0084,0
973,1050,0.1788,0,0.0487,3.2849,1
1,19,0.9273,0,0.0194,58.917,0
3,15,2.0924,0,0.0162,59.3567,0
4,18,1.0977,0,0.0171,56.0505,0
2,19,2.4899,0,0.0265,48.1854,0
4,21,1.1583,0,0.023,23.2844,0
4,22,2.3896,0,0.094,25.5722,0
5,23,1.4291,0,0.0156,56.2656,0
1,57,0.4259,0,0.9772,27.2045,1
5,27,0.2894,0,0.0658,84.7541,0
4,23,1.9429,0,0.0088,73.3295,0
1,12,1.5593,0,0.0257,65.0076,0
3,14,1.8964,0,0.0065,26.549,0
5,22,1.1712,0,0.0161,73.4085,0
5,20,1.5677,0,0.0098,69.0158,0
5,16,0.8434,0,0.0002,35.9549,0
1,15,1.2277,0,0.0081,78.153,0
2,10,1.6537,0,0.0339,53.9716,0
4,14,1.0846,0,0.0014,31.5665,0
6,22,1.8699,0,0.0054,67.9486,0
2,78,0.2091,0,0.5157,17.6037,1
3,13,1.0824,0,0.0634,91.7908,0
2,26,1.3291,0,0.005,62.5592,0
4,18,1.5664,0,0.0087,54.755,0
2,8,1.5174,0,0.0165,14.6904,0
2,17,2.1291,0,0.0288,36.064,0
2,17,2.3456,0,0.0161,30.4441,0
4,16,1.6754,0,0.0408,30.925,0
4,21,0.9658,0,0.0096,42.1977,0
417,508,0.2858,1,0.1499,7.8088,1
10,24,1.4144,0,0.1169,43.4872,0
0,14,1.2094,0,0.0128,42.1733,0
0,14,0.2548,0,0.016,53.0015,0
6,23,1.0625,0,0.0108,36.9956,0
22,50,1.5166,1,0.8925,117.3341,1
3,17,1.3059,0,0.0274,44.3251,0
2,21,2.5878,0,0.0163,69.7497,0
3,20,1.7818,0,0.0061,85.4657,0
2,23,1.8906,1,0.0257,42.6897,0
4,22,0.6336,0,0.044,76.4522,0
2,18,1.5903,1,0.0174,60.3133,0
5,15,1.2123,0,0.0061,50.0697,0
1,9,1.7652,0,0.0327,37.5465,0
3,19,1.8187,0,0.0436,35.2867,0
3,19,0.6733,0,0.0318,46.4402,0
127,577,0.3767,1,0.1593,2.534,1
1,19,1.5931,0,0.0385,67.6664,0
3,16,0.3155,0,0.034,46.0529,0
6,17,1.3658,0,0.0155,72.5638,0
1,16,0.7933,0,0.0138,21.623,0
4,29,0.4968,1,0.0067,65.4131,0
3,18,1.5318,0,0.0018,65.151,0
4,27,1.7148,0,0.0168,54.1538,0
1,19,2.5238,0,0.0029,61.4391,0
2,13,1.245,0,0.032,40.8219,0
0,16,1.4072,0,0.0116,57.4528,0
3,20,0.8303,0,0.0105,47.5588,0
3,17,1.8595,0,0.0323,27.1494,0
0,11,1.0213,0,0.0093,30.2701,0
2,20,1.8653,1,0.0105,67.9256,0
5,22,1.3448,0,0.0356,40.8183,0
1,19,1.1729,0,0.0012,72.0542,0
2,13,1.215,0,0.0209,10.0,0
5,17,1.2115,0,0.0006,27.8436,0
2,18,2.1769,0,0.033,45.466,0
1,14,1.6888,0,0.0479,74.5136,0
13,86,0.4875,0,0.5101,11.5398,1
2,20,0.8829,0,0.0086,27.9174,0
4,16,1.8628,0,0.037,52.7334,0
3,23,1.76,0,0.0335,53.9865,0
1,20,0.6652,0,0.0316,54.2458,0
8,25,1.553,0,0.0431,49.3625,0
4,12,1.7866,0,0.0152,12.1083,0
2,10,1.7539,0,0.0075,51.0798,0
2,17,1.6258,0,0.0078,52.5474,0
9,48,0.2773,0,0.9473,28.6695,1
1,19,0.6517,0,0.0474,59.5576,0
1,16,1.5549,0,0.0156,56.7247,0
2,23,1.0972,1,0.0426,13.1266,0
6,23,1.9508,0,0.0005,42.3746,0
4,16,1.4082,0,0.0066,50.4875,0
3,21,1.6781,0,0.0145,18.1147,0
3,18,2.152,0,0.0383,29.057,0
3,22,0.9618,0,0.0285,51.3033,0
6,19,0.821,0,0.0007,29.3904,0
3,17,1.7714,0,0.0005,49.452,0
3,23,1.5236,0,0.0196,24.4316,0
1,17,1.481,0,0.0326,10.0,0
3,20,0.907,0,0.0082,28.1245,0
1,17,2.6455,0,0.0055,31.3421,0
3,20,1.0449,0,0.0535,46.3717,0
5,24,1.8702,0,0.0025,63.3977,0
3,23,1.3346,0,0.0172,64.7411,0
2,21,1.741,0,0.0344,10.0,0
3,15,1.6032,0,0.0101,13.3127,0
40,236,1.3926,0,0.1337,9.7987,1
3,17,1.0672,0,0.0106,84.5291,0
2,18,1.1625,0,0.0057,27.481,0
0,11,2.0984,0,0.0084,48.5074,0
1,30,1.8337,0,0.0229,30.788,0
5,19,1.7041,0,0.0184,35.8948,0
6,19,1.0133,0,0.0015,71.3784,0
2,23,1.2935,0,0.0223,10.0,0
6,24,2.0696,0,0.0146,49.8718,0
2,23,2.1516,1,0.0067,55.7046,0
2,16,2.2346,0,0.0039,38.6524,0
3,20,1.9752,0,0.0035,38.4619,0
6,16,0.8017,0,0.014,72.3029,0
7,69,0.1596,0,0.8981,24.843,1
3,26,0.5754,0,0.0061,33.9172,0
2,12,1.7282,0,0.0049,42.6585,0
5,15,0.4648,0,0.0202,42.8177,0
2,7,1.3783,0,0.0026,62.0181,0
16,3935,1.7864,0,0.0929,18.262,1
5,17,2.2292,0,0.0497,38.3236,0
23,946,2.164,1,0.073,14.8917,1
3,21,2.2363,0,0.0729,38.0477,0
2,14,1.6283,0,0.0267,44.3261,0
498,798,0.4129,1,0.0458,1.2848,1
1,12,1.9521,0,0.0104,22.8954,0
